Valor;Dt_Vcto;Dt_Pgto;Observação;Local_Pgto;ND;MES_ANO;SOMA?;Sequencial
814,8;20/05/2024;14/05/2024;Abril/2024 - Nº Recibo Declaração: 50000229152458;INT;121;202405;FALSO;2812
189;20/05/2024;14/05/2024;HONORARIOS CONTADOR - COMPETENCIA ABRIL/2024;INT;122;202405;FALSO;2813
0;15/04/2024;15/04/2024;Abateu o Sinal, pois vai entregar o AP;BRA;135;202404;VERDADEIRO;2814
0;15/05/2024;15/05/2024;Abateu o Sinal, pois vai entregar o AP;BRA;135;202405;VERDADEIRO;2815
0;17/05/2024;17/05/2024;47º Aluguel - Controle no Excel;Int;129;202405;VERDADEIRO;2816
1176,95;20/05/2024;19/05/2024;FEDERAL    - PERIODO DE APURAÇÃO: Abril/2024 - PIX;INT;124;202405;FALSO;2817
193,3;10/06/2024;10/06/2024;Eletropaulo - R4-CS52 - 100067063086;INT;035;202406;VERDADEIRO;2818
95,95;24/05/2024;24/05/2024;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202405;VERDADEIRO;2819
158,69;18/04/2024;18/04/2024;FATURA MÊS;INT;072;202404;FALSO;2820
162,15;21/05/2024;21/05/2024;FATURA MÊS;INT;072;202405;FALSO;2821
29,57;17/05/2024;17/05/2024;Não atingiu o mínimo;INT;071;202405;FALSO;2823
139,08;13/05/2024;19/05/2024;Paguei com atraso - PIX;INT;045;202405;FALSO;2824
159,55;17/04/2024;17/04/2024;Johana fez acordo;INT;073;202404;FALSO;2825
130,77;20/05/2024;20/05/2024;Johana fez acordo;INT;073;202405;FALSO;2826
998;30/04/2024;19/04/2024;Mensalidade 4/12 + Abateu Atividade Extracurricular R$ 210,00;INT;142;202404;VERDADEIRO;2827
1208;30/05/2024;27/05/2024;Mensalidade 5/12;INT;142;202405;VERDADEIRO;2828
74,07;03/06/2024;03/06/2024;Debitou Inter;INT;046;202406;VERDADEIRO;2829
73;01/06/2024;04/06/2024;Paguei manualmente no Inter;INT;070;202406;VERDADEIRO;2830
1756,65;05/06/2024;04/06/2024;Fatura mês - Fechamento;INT;042;202406;VERDADEIRO;2831
2316,08;05/06/2024;04/06/2024;Fatura mês - Pago Inter;XP;143;202406;VERDADEIRO;2832
89,9;10/06/2024;04/06/2024;PAGO - INTER;INT;132;202406;VERDADEIRO;2833
260;05/06/2024;04/06/2024;Perua 5/12 - Karoline - 8.ANO - FIZ SEM QUERER PARA A CONTA ANTIGA;INT;147;202406;VERDADEIRO;2834
146,54;05/06/2024;04/06/2024;Pago manualmente no INTER  - PIX;INT;131;202406;VERDADEIRO;2835
1050;15/06/2024;04/06/2024;Pago no Inter;INT;148;202406;VERDADEIRO;2836
403,07;15/06/2024;04/06/2024;Condomínio CASA 52 -  PAGO VIA DDA INTER;INT;038;202406;VERDADEIRO;2837
486,08;15/06/2024;04/06/2024;Condomínio + Sabesp - APARTAMENTO -  PAGO;INT;049;202406;VERDADEIRO;2838
481,21;15/06/2024;09/06/2024;Pago Itamar;INT;092;202406;VERDADEIRO;2839
-1400;10/06/2024;09/06/2024;23º Aluguel + Sabesp;INT;140;202406;VERDADEIRO;2840
0;17/06/2024;17/06/2024;48º Aluguel - Controle no Excel;Int;129;202406;VERDADEIRO;2841
189;20/06/2024;16/06/2024;HONORARIOS CONTADOR - COMPETENCIA MAIO/2024;INT;122;202406;FALSO;2842
1287,47;20/06/2024;17/06/2024;FEDERAL    - PERIODO DE APURAÇÃO: Maio/2024 - PIX;INT;124;202406;FALSO;2843
814,8;20/06/2024;20/06/2024;Maio/2024 - Nº Recibo Declaração: 50000229152458;INT;121;202406;FALSO;2844
229,77;10/07/2023;24/06/2024;Agendei no Inter:  TFE - Taxa de Fiscalização do Estabelecimento - Exercício 2024, devida à Prefeitura do Município de São Paulo.;INT;123;202307;FALSO;2845
-1400;10/07/2024;07/07/2024;24º Aluguel + Sabesp;INT;140;202407;VERDADEIRO;2846
77,07;02/07/2024;07/07/2024;Debitou Inter;INT;046;202407;VERDADEIRO;2847
113,3;25/06/2024;25/06/2024;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202406;VERDADEIRO;2848
216,23;31/07/2024;24/06/2024;Pago Inter;INT;123;202407;FALSO;2849
89,9;10/07/2024;05/07/2024;PAGO NUBANK;NUB;132;202407;VERDADEIRO;2850
403,07;15/07/2024;05/07/2024;Condomínio CASA 52 -  PAGO VIA DDA NUB;NUB;038;202407;VERDADEIRO;2851
487,37;15/07/2024;08/07/2024;Pago Itamar;INT;092;202407;VERDADEIRO;2852
482,64;15/07/2024;05/07/2024;Condomínio + Sabesp - APARTAMENTO -  PAGO;NUB;049;202407;VERDADEIRO;2853
2343,58;05/07/2024;02/07/2024;Fatura mês;NUB;143;202407;VERDADEIRO;2854
1050;15/07/2024;02/07/2024;Pago no NUBANK;NUB;148;202407;VERDADEIRO;2855
189;20/03/2024;18/03/2024;HONORARIOS CONTADOR - COMPETENCIA FEVEREIRO/2024;INT;122;202403;FALSO;2759
-1400;10/03/2024;13/03/2024;20º Aluguel + Sabesp;INT;140;202403;VERDADEIRO;2760
-80;15/03/2024;21/03/2024;Pix R$ 1.380,00 = 1300+80,00;BRA;098;202403;VERDADEIRO;2761
-1300;15/03/2024;21/03/2024;Pix R$ 1.380,00 = 1300+80,00;BRA;135;202403;VERDADEIRO;2762
0;17/02/2024;17/02/2024;44º Aluguel - Controle no Excel;Int;129;202402;VERDADEIRO;2763
1418;31/03/2024;25/03/2024;Mensalidade 3/12 + Atividade Extracurricular R$ 210,00;INT;142;202403;VERDADEIRO;2765
105,95;26/03/2024;26/03/2024;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202403;VERDADEIRO;2766
72,05;02/04/2024;02/04/2024;Debitou Inter;INT;046;202404;VERDADEIRO;2767
111,32;01/07/2024;01/07/2024;ACORDO 0000094506611924 = saldo devedor;INT;072;202407;FALSO;2768
64,16;20/03/2024;20/03/2024;Não atingiu o mínimo;INT;073;202403;FALSO;2770
28,06;20/03/2024;20/03/2024;Não atingiu o mínimo;INT;071;202403;FALSO;2771
133,58;02/01/2024;07/04/2024;PROTOCOLO 1216374 - AIIP: QVB3739326;BRA;102;202401;VERDADEIRO;2772
1050;15/04/2024;04/04/2024;Pago no Inter;INT;148;202404;VERDADEIRO;2773
260;05/04/2024;07/04/2024;Perua 3/12 - Karoline - 8.ANO - TRANSPORTE SEGURO LTDA 26.752.666/0001-90;INT;147;202404;VERDADEIRO;2774
74,59;01/04/2024;07/04/2024;Paguei manualmente no Inter pix - Atraso;INT;070;202404;VERDADEIRO;2775
149,76;05/04/2024;07/04/2024;Pago manualmente no INTER  - PIX;INT;131;202404;VERDADEIRO;2776
760,11;05/04/2024;28/03/2024;Fatura mês - Pago Inter;XP;143;202404;VERDADEIRO;2777
350,32;05/04/2024;05/04/2024;Seguro Tokyo Prc 2 - Debito Automatico;BRA;102;202404;VERDADEIRO;2778
89,9;10/04/2024;07/04/2024;PAGO - INTER;INT;132;202404;VERDADEIRO;2779
183,14;09/04/2024;09/04/2024;Eletropaulo - R4-CS52 - 100067063086;INT;035;202404;VERDADEIRO;2780
403,07;15/04/2024;08/04/2024;Condomínio CASA 52 -  PAGO VIA DDA INTER;INT;038;202404;VERDADEIRO;2781
480,51;15/04/2024;08/04/2024;Pago Itamar;INT;092;202404;VERDADEIRO;2782
516,12;15/04/2024;08/04/2024;Condomínio + Sabesp - APARTAMENTO -  PAGO;INT;049;202404;VERDADEIRO;2783
3797,24;05/04/2024;07/04/2024;Fatura mês - Quitação Faturas futuras;INT;042;202404;VERDADEIRO;2784
-1380;10/04/2024;09/04/2024;21º Aluguel + Sabesp;INT;140;202404;VERDADEIRO;2785
189;22/04/2024;15/04/2024;HONORARIOS CONTADOR - COMPETENCIA MARCO/2024;INT;122;202404;FALSO;2786
982,36;22/04/2024;19/04/2024;FEDERAL    - PERIODO DE APURAÇÃO: Março/2024 - PIX;INT;124;202404;FALSO;2788
814,8;19/04/2024;19/04/2024;Março/2024 - Nº Recibo Declaração: 50000220697605;INT;121;202404;FALSO;2789
0;17/04/2024;17/04/2024;46º Aluguel - Controle no Excel;Int;129;202404;VERDADEIRO;2790
62,42;13/04/2024;19/04/2024;Não atingiu o mínimo;INT;045;202404;FALSO;2791
85,77;17/04/2024;19/04/2024;Itamar pagou;INT;071;202404;FALSO;2793
117,24;24/04/2024;24/04/2024;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202404;VERDADEIRO;2795
72,05;02/05/2024;02/05/2024;Debitou Inter;INT;046;202405;VERDADEIRO;2796
1050;15/05/2024;28/04/2024;Pago no Inter;INT;148;202405;VERDADEIRO;2797
89,9;10/05/2024;28/04/2024;PAGO - INTER;INT;132;202405;VERDADEIRO;2798
1571,9;06/05/2024;28/04/2024;Fatura mês - Fechamento;INT;042;202405;VERDADEIRO;2799
4423,61;06/05/2024;19/04/2024;Fatura mês - Quitação Faturas futuras;INT;042;202405;VERDADEIRO;2800
2415,61;05/05/2024;28/04/2024;Fatura mês - Pago Inter;XP;143;202405;VERDADEIRO;2801
74,59;01/05/2024;28/04/2024;Paguei manualmente no Inter;INT;070;202405;VERDADEIRO;2802
149,61;05/05/2024;28/04/2024;Pago manualmente no INTER  - PIX;INT;131;202405;VERDADEIRO;2803
176,09;13/05/2024;13/05/2024;Multa:;BRA;136;202405;VERDADEIRO;2804
505,96;15/05/2024;10/05/2024;Condomínio + Sabesp - APARTAMENTO -  PAGO;INT;049;202405;VERDADEIRO;2805
403,07;15/05/2024;10/05/2024;Condomínio CASA 52 -  PAGO VIA DDA INTER;INT;038;202405;VERDADEIRO;2806
3102,66;05/07/2024;03/07/2024;Fatura mês - Fechamento;NUB;042;202407;VERDADEIRO;2856
1208;30/06/2024;01/07/2024;Mensalidade 6/12;INT;142;202406;VERDADEIRO;2857
28,2;19/06/2024;19/06/2024;Não atingiu o mínimo;INT;071;202406;FALSO;2864
1390;10/05/2025;05/05/2025;Prc 4;NUB;158;202505;VERDADEIRO;3131
0;05/04/2025;05/04/2025;Jonata começou a pagar;BRA;088;202504;FALSO;3132
0;05/05/2025;05/05/2025;Jonata começou a pagar;BRA;088;202505;FALSO;3133
-1500;10/03/2025;24/03/2025;32º Aluguel + Sabesp - Pagou com Atraso;INT;140;202503;VERDADEIRO;3134
-1500;10/04/2025;28/04/2025;33º Aluguel + Sabesp - Pagou com Atraso;INT;140;202504;VERDADEIRO;3135
26,24;21/05/2025;18/05/2025;Pago via PIX;NUB;151;202505;VERDADEIRO;3136
89,9;10/05/2025;19/05/2025;Pago Nubank;NUB;132;202505;VERDADEIRO;3137
563,8;15/05/2025;19/05/2025;Condomínio + Sabesp - APARTAMENTO -  AGENDADO;NUB;049;202505;VERDADEIRO;3138
449,65;15/06/2025;16/06/2025;Condomínio CASA 52 -  PAGO VIA DDA NUB - AGENDADO;NUB;038;202506;VERDADEIRO;3139
531,87;15/05/2025;19/05/2025;NUB - AGENDADO;NUB;092;202505;VERDADEIRO;3140
157,44;20/05/2025;18/05/2025;PAGO VIA PIX NUB;NUB;072;202505;VERDADEIRO;3141
112,54;26/05/2025;26/05/2025;Sabesp - R4-CS52 - 0182247090 - DA Inter;INT;036;202505;VERDADEIRO;3142
76,3;05/06/2025;20/07/2025;Em atraso NUB;NUB;152;202506;VERDADEIRO;3143
28,65;20/05/2025;20/05/2025;Não atingiu o mínimo;NUB;071;202505;FALSO;3146
0;08/06/2025;08/06/2025;Jhonata;;149;202506;FALSO;3147
93,88;17/05/2025;18/05/2025;itamar pagou via pix qrcode;NUB;073;202505;FALSO;3148
79,62;01/06/2025;01/06/2025;Paguei manualmente no NUBANK - PIX;NUB;070;202506;VERDADEIRO;3149
153,15;01/06/2025;01/06/2025;PIX Nubank;NUB;131;202506;VERDADEIRO;3150
6920,44;05/06/2025;29/05/2025;Fatura Futuras - Antecipação;NUB;042;202506;VERDADEIRO;3151
2500;05/06/2025;02/06/2025;Pago Nub;NUB;143;202506;VERDADEIRO;3152
1050;04/06/2025;02/06/2025;Pago NUBANK;NUB;148;202506;VERDADEIRO;3153
-1500;10/05/2025;13/06/2025;34º Aluguel + Sabesp - Pagou com Atraso - Deposito 13/06 2.500 + 500;INT;140;202505;VERDADEIRO;3154
-1500;10/06/2025;13/06/2025;35º Aluguel + Sabesp - Pagou com Atraso Deposito 13/06 2.500 + 500;INT;140;202506;VERDADEIRO;3155
1390;10/06/2025;10/06/2025;Prc 5;NUB;158;202506;VERDADEIRO;3156
440,83;15/05/2025;16/05/2025;Condomínio CASA 52 -  PAGO VIA DDA NUB - AGENDADO;NUB;038;202505;VERDADEIRO;3157
523,36;15/06/2025;16/06/2025;NUB - AGENDADO;NUB;092;202506;VERDADEIRO;3158
521,06;15/06/2025;16/06/2025;Condomínio + Sabesp - APARTAMENTO -  AGENDADO;NUB;049;202506;VERDADEIRO;3159
0;05/06/2025;05/06/2025;Jonata começou a pagar;BRA;088;202506;FALSO;3160
258,56;09/06/2025;16/06/2025;Eletropaulo - R4-CS52 - 100067063086  -NÃO DEBITOU, PAGUEI EM ATRASO NO NU PIX;NUB;035;202506;VERDADEIRO;3161
102,29;10/06/2025;09/07/2025;Pago Nubank- Atraso;NUB;132;202506;VERDADEIRO;3162
99,99;10/07/2025;09/07/2025;Pago Nubank;NUB;132;202507;VERDADEIRO;3163
6920,44;05/06/2025;29/05/2025;Fatura Futuras - Antecipação;NUB;042;202506;VERDADEIRO;3164
7000;05/07/2025;25/06/2025;Fatura Futuras - Antecipação;NUB;042;202507;VERDADEIRO;3166
722,67;05/07/2025;25/06/2025;Fatura Futuras - Antecipação;NUB;042;202507;VERDADEIRO;3167
1050;06/07/2025;01/07/2025;Pago NUBANK;NUB;148;202507;VERDADEIRO;3168
2500;05/07/2025;01/07/2025;Pago Nub;NUB;143;202507;VERDADEIRO;3169
85;01/07/2025;01/07/2025;Paguei manualmente no NUBANK - PIX;NUB;070;202507;VERDADEIRO;3171
156;01/07/2025;01/07/2025;PIX Nubank;NUB;131;202507;VERDADEIRO;3172
0;05/07/2025;05/07/2025;Novo Inquilino pagou;BRA;088;202507;FALSO;3173
-1370,66;30/06/2025;30/06/2025;LOTE 2025/02;BRA;083;202506;FALSO;3174
-1600;10/07/2025;08/07/2025;1º Aluguel - B15-35 - Anderson;INT;160;202507;VERDADEIRO;3175
0;20/06/2025;20/06/2025;sem valor;NUB;151;202506;VERDADEIRO;3176
240,77;10/07/2025;20/07/2025;Eletropaulo - R4-CS52 - 100067063086  -NÃO DEBITOU, PAGUEI EM ATRASO NO NU PIX;NUB;035;202507;VERDADEIRO;3178
148,78;25/06/2025;25/06/2025;Sabesp - R4-CS52 - 0182247090 - DA Inter;INT;036;202506;VERDADEIRO;3179
76,3;24/07/2025;24/07/2025;Sabesp - R4-CS52 - 0182247090 - DA Inter;INT;036;202507;VERDADEIRO;3180
78,55;05/07/2025;20/07/2025;Em atraso NUB;NUB;152;202507;VERDADEIRO;3181
76,3;02/06/2025;02/06/2025;DA Inter;INT;046;202506;VERDADEIRO;3182
76,3;02/07/2025;02/07/2025;DA Inter;INT;046;202507;VERDADEIRO;3183
153,96;20/06/2025;20/07/2025;PAGO VIA PIX NUB;NUB;072;202506;VERDADEIRO;3184
79,54;03/09/2024;03/09/2024;Paguei manualmente no NUBANK - PIX;CCN;070;202409;VERDADEIRO;2909
146,54;05/09/2024;11/09/2024;PIX Inter;INT;131;202409;VERDADEIRO;2910
649,09;05/09/2024;07/08/2024;Fatura mês - Antecipação;NUB;042;202409;VERDADEIRO;2911
16879,47;05/09/2024;29/08/2024;Quitei carro Cintia;XP;143;202409;VERDADEIRO;2912
260;05/08/2024;14/08/2024;Perua 7/12 - Karoline - 8.ANO - FIZ SEM QUERER PARA A CONTA ANTIGA;INT;147;202408;VERDADEIRO;2913
260;05/09/2024;08/09/2024;Perua 8/12 - Karoline - 8.ANO - TRANSPORTE SEGURO LTDA 26.752.666/0001-90;INT;147;202409;VERDADEIRO;2914
1108,28;16/09/2024;08/09/2024;Pago no Inter;INT;148;202409;VERDADEIRO;2915
217,87;09/09/2024;09/09/2024;Eletropaulo - R4-CS52 - 100067063086;INT;035;202409;VERDADEIRO;2916
42,41;05/09/2024;05/09/2024;Apartamento Vazio - Valor minimo;BRA;088;202409;FALSO;2918
-1400;10/09/2024;07/09/2024;26º Aluguel + Sabesp;INT;140;202409;VERDADEIRO;2919
403,07;15/09/2024;08/09/2024;Condomínio CASA 52 -  PAGO VIA DDA NUB;NUB;038;202409;VERDADEIRO;2920
482,06;15/09/2024;08/09/2024;Pago Itamar;INT;092;202409;VERDADEIRO;2921
487,17;15/09/2024;08/09/2024;Condomínio + Sabesp - APARTAMENTO -  PAGO;INT;049;202409;VERDADEIRO;2922
0,51;08/09/2024;08/09/2024;Paguei uma diferença;;149;202409;FALSO;2923
0;17/09/2024;17/09/2024;Imovel vazio;Int;129;202409;VERDADEIRO;2924
1208;30/09/2024;01/10/2024;Mensalidade 10/12 - Fiz um PIX, pois não debitou;INT;142;202409;VERDADEIRO;2926
112,05;19/09/2024;26/09/2024;itamar pagou via pix qrcode;NUB;073;202409;FALSO;2927
27,59;19/09/2024;19/09/2024;Não atingiu o mínimo;NUB;071;202409;FALSO;2928
185,4;18/09/2024;06/10/2024;PAGUEI VIA PIX NUBANK;NUB;072;202409;FALSO;2929
112,54;24/09/2024;24/09/2024;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202409;VERDADEIRO;2930
70,05;13/10/2024;13/10/2024;Debitará Debito Automatico;NUB;045;202410;FALSO;2931
736,09;05/10/2024;01/10/2024;Fatura mês - Pago Inter;NUB;143;202410;VERDADEIRO;2932
234,51;05/10/2024;01/10/2024;Fatura mês - Antecipação;NUB;042;202410;VERDADEIRO;2933
89,9;10/10/2024;03/10/2024;PAGO NUBANK;NUB;132;202410;VERDADEIRO;2934
1050;16/10/2024;03/10/2024;Pago no NUBANK;NUB;148;202410;VERDADEIRO;2935
149,74;05/10/2024;07/10/2024;Agendado Boleto Inter;NUB;131;202410;VERDADEIRO;2937
70,05;03/10/2024;06/10/2024;Paguei manualmente no NUBANK - PIX;NUB;070;202410;VERDADEIRO;2938
260;05/10/2024;06/10/2024;Perua 9/12 - Karoline - 8.ANO - - Fiz 600,00 indevidamente mas a Karotina devoleu a diferença de R$ 340,00;INT;147;202410;VERDADEIRO;2939
481,56;15/10/2024;07/10/2024;Condomínio + Sabesp - APARTAMENTO -  PAGO;NUB;049;202410;VERDADEIRO;2941
485,67;15/10/2024;07/10/2024;Pago Itamar;NUB;092;202410;VERDADEIRO;2942
403,07;15/10/2024;07/10/2024;Condomínio CASA 52 -  PAGO VIA DDA NUB;NUB;038;202410;VERDADEIRO;2943
76,3;01/10/2024;01/10/2024;Via PIX Nubank;NUB;046;202410;VERDADEIRO;2944
195,59;09/10/2024;09/10/2024;Eletropaulo - R4-CS52 - 100067063086;INT;035;202410;VERDADEIRO;2945
0;17/09/2024;17/09/2024;Imovel vazio;Int;129;202409;VERDADEIRO;2946
235,17;11/11/2024;11/11/2024;Eletropaulo - R4-CS52 - 100067063086;INT;035;202411;VERDADEIRO;2947
136,7;26/10/2024;26/11/2024;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202410;VERDADEIRO;2948
76,3;01/11/2024;18/11/2024;Paguei Inter com atraso;INT;046;202411;VERDADEIRO;2949
168,95;18/10/2024;27/10/2024;PAGUEI VIA PIX NUBANK;NUB;072;202410;FALSO;2950
86;18/10/2024;27/10/2024;Pago PIX;NUB;071;202410;FALSO;2951
91,93;18/10/2024;27/10/2024;itamar pagou via pix qrcode;NUB;073;202410;FALSO;2952
58,2;13/11/2024;13/11/2024;Não atingiu o mínimo;DEM;045;202411;FALSO;2953
1208;30/10/2024;28/10/2024;Mensalidade 11/12 - Agendei;NUB;142;202410;VERDADEIRO;2954
89,9;10/11/2024;28/10/2024;PAGO NUBANK;NUB;132;202411;VERDADEIRO;2955
1050;16/11/2024;28/10/2024;Agendei NUBANK;NUB;148;202411;VERDADEIRO;2956
221,38;05/11/2024;27/10/2024;Fatura mês - Debito em conta;NUB;042;202411;VERDADEIRO;2957
0;08/10/2024;08/10/2024;Jhonata;;149;202410;FALSO;2958
1510,98;10/01/2025;10/01/2025;IPTU 2025;INT;047;202501;VERDADEIRO;3014
82,06;20/05/2022;13/06/2022;Johana pagou;INT;073;202205;FALSO;2036
26,66;13/05/2022;13/05/2022;Não atingiu o mínimo;INT;045;202205;FALSO;2037
1100;28/05/2022;28/05/2022;MANUTENCAO DANIEL;INT;136;202205;FALSO;2038
89,9;10/06/2022;30/05/2022;PAGO - INTER;INT;132;202206;VERDADEIRO;2039
970;30/05/2022;30/05/2022;750 - Mensalidade + 220 Transporte - Documento: 489;BRA;076;202205;VERDADEIRO;2040
1120;05/06/2022;30/05/2022;DDA 490;BRA;138;202206;FALSO;2041
1841,82;05/06/2022;30/05/2022;Fat do  mes NUBANK;INT;042;202206;VERDADEIRO;2042
25,81;13/06/2022;13/06/2022;Não atingiu o mínimo;INT;045;202206;FALSO;2043
100;10/06/2022;10/06/2022;Cintia pagou;ESP;055;202206;VERDADEIRO;2045
970;30/06/2022;06/06/2022;750 - Mensalidade + 220 Transporte - Documento: 494;BRA;076;202206;VERDADEIRO;2046
342,82;15/06/2022;06/06/2022;Condomínio CASA 52 - 492;BRA;038;202206;VERDADEIRO;2047
415,58;15/06/2022;09/06/2022;Condomínio + Sabesp - APARTAMENTO -  PAGO BRADESCO;BRA;049;202206;VERDADEIRO;2048
-980;28/05/2022;28/05/2022;RESSARCIDO IMPERIO DO OLEO;INT;136;202205;FALSO;2049
416,62;15/06/2022;13/06/2022;Pago Itamar;INT;092;202206;VERDADEIRO;2050
539;20/06/2022;12/06/2022;COMPETENCIA: 05/2022;INT;121;202206;FALSO;2051
302,44;20/06/2022;12/06/2022;IRRF APURACAO 31/05/2022;INT;125;202206;FALSO;2052
152;20/06/2022;12/06/2022;HONORARIOS CONTADOR - COMPETENCIA MAIO/2022;INT;122;202206;FALSO;2053
67,47;01/06/2022;13/06/2022;Paguei manualmente no Inter;BRA;070;202206;VERDADEIRO;2054
150,11;05/06/2022;13/06/2022;Pago manualmente no INTER;INT;131;202206;VERDADEIRO;2055
132,06;23/06/2022;23/06/2022;PAGO JOHANA;INT;072;202206;FALSO;2056
88,64;22/06/2022;01/08/2022;Johana pagou;int;073;202206;FALSO;2057
23,02;22/06/2022;12/09/2022;Não atingiu o mínimo;INT;071;202206;FALSO;2058
109,95;27/05/2022;13/06/2022;Paguei, pois Rafael não pagou;;048;202205;VERDADEIRO;2059
1011,99;20/06/2022;20/06/2022;FEDERAL    - PERIODO DE APURAÇÃO: Junho/2022 - LEITURA CODIGO DE BARRAS;INT;124;202206;FALSO;2060
65,76;28/06/2022;28/06/2022;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202206;VERDADEIRO;2061
-1000;10/07/2022;30/06/2022;Caucao - Parcela 1 de 2;BRA;140;202207;VERDADEIRO;2062
146,46;22/07/2022;22/07/2022;PAGO JOHANA;INT;072;202207;FALSO;2109
194,32;11/08/2022;09/08/2022;Eletropaulo - R4-CS52 - DEBITOU INTER;INT;035;202208;VERDADEIRO;2110
311,12;10/08/2022;10/08/2022;Fatura Cartao Inter;INT;042;202208;VERDADEIRO;2112
67,93;04/08/2022;04/08/2022;Debitou Inter;INT;046;202208;VERDADEIRO;2113
956,73;20/08/2022;15/08/2022;FEDERAL    - PERIODO DE APURAÇÃO: Julho/2022;INT;124;202208;FALSO;2114
539;20/08/2022;15/08/2022;COMPETENCIA: 07/2022;INT;121;202208;FALSO;2115
302,44;20/08/2022;15/08/2022;IRRF APURACAO 31/07/2022;INT;125;202208;FALSO;2116
152;20/08/2022;15/08/2022;HONORARIOS CONTADOR - COMPETENCIA JULHO/2022;INT;122;202208;FALSO;2117
342,82;15/08/2022;15/08/2022;Condomínio CASA 52 -  PAGO VIA DDA:INTER;INT;038;202208;VERDADEIRO;2118
416,4;15/10/2022;03/10/2022;Condomínio + Sabesp - APARTAMENTO -  PAGO VIA DDA INTER;INT;049;202210;VERDADEIRO;2166
342,82;15/10/2022;03/10/2022;Condomínio CASA 52 -  PAGO VIA DDA:INTER;INT;038;202210;VERDADEIRO;2167
73,5;01/10/2022;03/10/2022;Paguei manualmente no Inter;BRA;070;202210;VERDADEIRO;2168
146,99;05/10/2022;03/10/2022;Pago manualmente no INTER;BRA;131;202210;VERDADEIRO;2169
65,76;04/10/2022;04/10/2022;Debitou Inter;INT;046;202210;VERDADEIRO;2170
229,31;10/10/2022;10/10/2022;Eletropaulo - R4-CS52 - DEBITOU INTER;INT;035;202210;VERDADEIRO;2171
87,31;22/09/2022;09/11/2022;Johana pagou;INT;073;202209;FALSO;2172
4411,58;05/02/2023;06/02/2023;Fatura mês;BRA;042;202302;VERDADEIRO;2321
106,35;09/02/2023;09/02/2023;Eletropaulo - R4-CS52 -;INT;035;202302;VERDADEIRO;2322
65,76;01/02/2023;01/02/2023;Debitou Inter;INT;046;202302;VERDADEIRO;2323
189,9;26/01/2023;26/01/2023;Vlr 189,90 p 6 meses = 31,65 por mês - VENC: 26/07/23;BRA;127;202301;VERDADEIRO;2324
67,6;01/01/2023;09/01/2023;Paguei manualmente no Inter;BRA;070;202301;VERDADEIRO;2325
67,6;01/02/2023;06/02/2023;Paguei manualmente no Inter;BRA;070;202302;VERDADEIRO;2326
110,6;05/02/2023;06/02/2023;Pago manualmente no INTER;INT;131;202302;VERDADEIRO;2327
89,9;10/02/2023;06/02/2023;PAGO - INTER;INT;132;202302;VERDADEIRO;2328
1120;05/02/2023;06/02/2023;Pago no Bradesco 509;BRA;138;202302;FALSO;2329
448,74;15/02/2023;06/02/2023;Condomínio + Sabesp - APARTAMENTO -  PAGO  510;BRA;049;202302;VERDADEIRO;2330
376,77;15/02/2023;06/02/2023;Condomínio CASA 52 -  PAGO 511;BRA;038;202302;VERDADEIRO;2331
78,01;13/01/2023;21/02/2022;Paguei com atraso;INT;045;202301;FALSO;2332
90,22;13/02/2023;21/02/2022;Paguei com atraso;INT;045;202302;FALSO;2333
105,6;20/01/2023;01/03/2023;Johana pagou;INT;073;202301;FALSO;2334
80,11;20/01/2023;20/01/2023;Johana pagar;INT;071;202301;FALSO;2335
455,41;15/02/2023;06/02/2023;Pago Itamar;INT;092;202302;VERDADEIRO;2336
140,92;18/01/2023;18/01/2023;PAGO JOHANA;INT;072;202301;FALSO;2337
-350;18/01/2023;23/01/2023;11º Aluguel - Pix Inter 350,00 - 23/01/2023 - Complemento;Int;139;202301;VERDADEIRO;2338
600;16/02/2023;16/02/2023;CONSERTO/PINTURA-PARACHOQUE E ESTRIBOS - XAVIER;BRA;136;202302;FALSO;2339
-60;15/02/2023;17/02/2023;Pix R$ 1.360,00 = 1300+60,00;BRA;098;202302;VERDADEIRO;2340
-1300;20/02/2023;17/02/2023;Pix R$ 1.360,00 = 1300+60,00;BRA;135;202302;VERDADEIRO;2341
913,84;22/02/2023;21/02/2023;FEDERAL    - PERIODO DE APURAÇÃO: Janeiro/2023 - PIX;INT;124;202302;FALSO;2342
196,42;09/03/2023;09/03/2023;Eletropaulo - R4-CS52 -;INT;035;202303;VERDADEIRO;2343
99,81;21/02/2023;20/03/2023;Johana pagou;INT;073;202302;FALSO;2344
25,95;21/02/2023;21/02/2023;Não atingiu o mínimo;INT;071;202302;FALSO;2345
63,59;01/03/2023;01/03/2023;Debitou Inter;INT;046;202303;VERDADEIRO;2346
136,87;17/02/2023;17/02/2023;PAGO JOHANA;INT;072;202302;FALSO;2347
